id,tipo,cor,tamanho,preco,estacao,imagem,genero,disponibilidade
1,Camiseta,Branco,M,49.90,Verao,camiseta_branca.jpg,Unissex,Disponivel
2,Calca,Preto,G,89.90,Inverno,calca_preta.jpg,Masculino,Esgotado
3,Saia,Vermelho,P,59.90,Primavera,saia_vermelha.jpg,Feminino,Disponivel
4,Jaqueta,Azul,GG,149.90,Outono,jaqueta_azul.jpg,Masculino,Disponivel
5,Blusa,Rosa,M,69.90,Inverno,blusa_rosa.jpg,Feminino,Disponivel
6,Short,Jeans,P,39.90,Verao,short_jeans.jpg,Feminino,Esgotado
7,Camisa,Listrado,G,79.90,Primavera,camisa_listrada.jpg,Masculino,Disponivel
8,Moletom,Cinza,GG,129.90,Outono,moletom_cinza.jpg,Unissex,Disponivel
9,Vestido,Florido,M,99.90,Primavera,vestido_florido.jpg,Feminino,Disponivel
10,Bermuda,Bege,M,44.90,Verao,bermuda_bege.jpg,Masculino,Disponivel
